ID Employé;Nom;Prénom;Genre;Date de naissance;Âge;Adresse Email;Numéro de téléphone;Adresse postale;Département;Date d'embauche;Date de départ;Ancienneté (années);Poste;Type de contrat;Salaire;Bonus;Congés disponibles (jours);Manager
d4713d60-c8a7-4639-ab11-67b367a9c378;Green;William;M;19/06/1992;32;william.green@xxx.tn;475-693-8242x1948;"578 Michael Island
New Thomas, VI 68835";IT;11/04/2023;12/05/2023;0;Manager;CDD;36421;452;24;NONE
d3290a4c-b5d3-4b16-a619-4cb1d71037d1;Moon;Christopher;M;31/01/1968;56;christopher.moon@xxx.tn;+1-909-375-3513x93328;"714 Mann Plaza Suite 839
Seanfurt, MD 75952";Marketing;20/03/2022;;2;Manager;CDD;22804;342;2;NONE
42930b33-a81a-4477-bb36-75b89cdeb3e6;Lopez;Jacob;F;09/08/1983;41;jacob.lopez@xxx.tn;511.822.0186x8483;"5159 Tom Roads Suite 330
Davebury, MN 22846";IT;22/01/2022;03/11/2022;0;Manager;CDI;27983;3788;11;NONE
0b9475b1-3801-4b47-b29a-8b06daf66c5f;Brown;Krista;M;04/11/1992;32;krista.brown@xxx.tn;001-389-810-1399;"90321 Clark Union
Lake Andrewchester, RI 13804";Qualité;30/10/2022;;2;Manager;CDD;47506;1580;4;NONE
80ee526e-0fa0-4a3f-ae29-50656fa231e9;Jones;Kevin;F;10/08/1968;56;kevin.jones@xxx.tn;209.416.3457x923;"419 Wade Bridge Suite 698
Deborahfurt, MP 86696";R&D;18/03/2022;24/02/2023;1;Manager;CDI;16558;1238;7;NONE
0bb2c3f0-bd30-491a-95fe-a08e143e2e04;Vazquez;Stephen;F;15/04/1974;50;stephen.vazquez@xxx.tn;+1-442-637-5945;"109 Holly Estate Apt. 376
Johnsonshire, MT 87296";Production;18/02/2022;07/07/2024;2;Manager;CDD;57216;4213;30;NONE
7cbd7025-e28b-49ff-870f-084c7244f536;Brown;Jacqueline;M;13/02/1975;49;jacqueline.brown@xxx.tn;+1-890-507-5470;"206 Stewart Forest
Lake Karenhaven, RI 13317";Qualité;25/05/2020;;4;Manager;CDD;38411;119;26;NONE
2ea60b99-fa7f-48bf-b044-284a47acf2f6;Banks;Morgan;M;09/12/1971;53;morgan.banks@xxx.tn;476-710-4714;"0003 Grant Lakes
Port Karafort, VT 84930";Finance et Comptabilité;14/08/2021;16/03/2024;3;Manager;CDD;26510;2016;2;NONE
0247145f-4a81-4d53-964d-db776025f0ae;Savage;Gregory;F;23/06/1993;31;gregory.savage@xxx.tn;(224)255-5159;"456 Kelly Neck
North Kyle, PR 69058";Service Clients;26/11/2023;;1;Manager;CDI;41925;3500;8;NONE
e89dc815-8f92-4dc5-9972-4ce31bd09448;Houston;Kevin;F;10/06/1984;40;kevin.houston@xxx.tn;475.851.7176x0452;"13306 Corey Point
Shanefort, WY 77163";Marketing;08/08/2020;26/04/2022;2;Manager;CDI;37389;3023;29;NONE
2aa50f4e-c6f0-4933-95d1-805142cb6d1d;Richardson;Vanessa;F;19/08/1992;32;vanessa.richardson@xxx.tn;(235)511-0873x17643;"76582 Vanessa Oval
New Richard, TX 55975";R&D;05/11/2021;;3;Directeur de département;CDI;21795;3456;26;
a2939b3b-7fa7-4d8a-bf88-ec827f99d273;Stark;Marcus;M;23/07/1997;27;marcus.stark@xxx.tn;+1-438-893-0555x08249;"18013 Billy Bridge Suite 522
Schmitthaven, MS 69943";R&D;07/06/2024;;0;Directeur de département;CDD;28872;1980;10;
138c3460-fd93-4adc-99a2-ecb1c202387b;Gregory;Linda;M;18/02/1966;58;linda.gregory@xxx.tn;001-263-448-9676x9930;"1744 Cruz Lights Apt. 223
Jessicamouth, AR 05210";Marketing;09/04/2024;14/05/2024;0;Directeur de département;CDI;24583;1382;18;
b2ddc481-ac6d-4df8-94e5-064cb799ae8e;Vasquez;Michelle;M;13/04/1992;32;michelle.vasquez@xxx.tn;(356)909-7670;"99251 Lee Tunnel
Rodriguezton, RI 92358";Production;04/02/2024;;0;Directeur de département;CDI;18450;3557;19;
d960af85-c9df-4e44-8bdf-fa7d9f3dd894;Martinez;Felicia;M;02/11/1986;38;felicia.martinez@xxx.tn;(764)518-3067;"07408 Jerry Trail
Hunterville, FL 56333";Finance et Comptabilité;22/12/2023;30/08/2024;1;Directeur de département;CDD;40101;1050;24;
27f9e728-c618-4c1e-aa48-05421965e435;Walls;Robert;F;26/07/1992;32;robert.walls@xxx.tn;001-707-266-0754x1511;"35192 Aaron Shoals
Lake Adrianstad, UT 03731";Service Clients;24/10/2024;;0;Directeur de département;CDI;22974;3020;3;
215203c7-421a-415e-b58c-43ceb51d70d8;Gibson;Thomas;F;02/07/1973;51;thomas.gibson@xxx.tn;4353574485;"62235 Joel Ferry Suite 560
New Andrew, CA 92535";R&D;24/12/2021;;3;Directeur de département;CDD;51623;616;22;
6c148fc6-9750-4a7e-a46c-b09ced28508d;Evans;Robert;F;30/10/1972;52;robert.evans@xxx.tn;951-537-5806x6065;"21418 Laura Mission Suite 266
East Susan, MA 69097";IT;15/08/2020;29/05/2022;2;Chef de projet;CDD;29706;2875;17;
0078cb12-4b73-40d1-b421-beafc149fa8e;Welch;Christopher;F;11/01/1988;36;christopher.welch@xxx.tn;001-879-970-3414x892;"86401 Stephenson Canyon Apt. 468
Wallaceview, MI 37646";R&D;18/03/2021;;3;Chef de projet;CDI;17272;1974;8;
87ba3b90-1e41-4c4e-9703-0ede889c8ae2;Jones;Jose;F;25/08/1969;55;jose.jones@xxx.tn;521.364.4829;"447 Carroll Dam Apt. 116
Garzaberg, OH 88090";Finance et Comptabilité;01/09/2021;;3;Chef de projet;CDD;29041;3293;5;
51783032-8066-449b-b1d7-92a07d25cefb;Newton;Jeffery;M;10/12/1987;37;jeffery.newton@xxx.tn;207.342.7093x0576;"605 Darren Alley
Morganport, VA 30213";Marketing;17/07/2022;20/07/2024;2;Chef de projet;CDD;57158;657;18;
2b12c92c-6256-4a95-9487-b5c3b7626f49;Lee;Ryan;F;30/10/2002;22;ryan.lee@xxx.tn;866-927-2852x32756;"73906 Jim Corner
West Brian, SC 89301";Production;13/03/2021;;3;Chef de projet;CDI;52211;1862;17;
48d002be-c061-499b-831a-352ade6c8762;Evans;Christopher;F;15/09/1979;45;christopher.evans@xxx.tn;001-756-670-8869x77473;"50402 Kristin Springs
New Randy, PW 29464";Qualité;22/06/2021;;3;Chef de projet;CDD;33204;2404;0;
52ab793f-51ab-45e5-8b77-5e2415eb3a3d;Franklin;Catherine;F;20/12/1976;48;catherine.franklin@xxx.tn;+1-375-540-8035;"34448 Scott Key Apt. 048
North Stevenmouth, AR 54518";Service Clients;10/11/2023;20/03/2024;1;Chef de projet;CDI;24268;3875;1;
275f275c-c3f3-474d-9386-1b58194665d3;Wilson;Christopher;F;09/03/1995;29;christopher.wilson@xxx.tn;(637)791-6860x23732;"84983 Waters Passage Suite 844
North David, WY 93812";Marketing;13/03/2024;;0;Chef de projet;CDI;27847;211;13;
a8dce886-ff45-43fe-bc6f-f6ace139d15d;Perry;Jeffery;F;04/08/1975;49;jeffery.perry@xxx.tn;7885601641;"31845 Nathaniel Neck Suite 922
New Williamstad, OR 83707";Marketing;03/11/2020;16/12/2023;3;Chef de projet;CDI;52650;1935;12;
c3d9b3b0-22b5-4be1-9392-a255fdc12930;Moore;Gregory;F;05/09/1972;52;gregory.moore@xxx.tn;479.933.2365;"PSC 1908, Box 9577
APO AA 02157";Service Clients;19/03/2020;31/07/2023;3;Chef de projet;CDD;26604;2413;21;
7b1d4049-bcc4-416d-b40d-2a37cf2a2198;Martin;Natasha;F;25/08/2001;23;natasha.martin@xxx.tn;+1-651-842-9635;"USNS Johnson
FPO AP 98421";Production;14/11/2021;;3;Chef de projet;CDD;33985;3960;11;
abecfc0b-581b-4307-8296-587339d5b552;Barnett;Donna;M;14/03/1987;37;donna.barnett@xxx.tn;(240)959-8025;"00351 Michael Shore
Taylorborough, NV 57545";Finance et Comptabilité;14/02/2022;;2;Chef de projet;CDI;48787;1635;23;
689c0559-bf4f-44a3-8908-53fdfc9ea692;Thompson;Mark;M;18/03/1988;36;mark.thompson@xxx.tn;(206)448-8709x1662;"53230 Julia Villages
Lake Christian, VI 78866";R&D;17/03/2021;14/07/2022;1;Chef de projet;CDI;26391;3335;6;
bcee9d29-ce4f-4ca0-971a-a4f640a21015;Hernandez;Carolyn;M;24/12/1994;30;carolyn.hernandez@xxx.tn;001-460-807-1542x7385;"0484 Madden Trail Suite 076
South Michaelton, AK 36290";Marketing;18/11/2020;;4;Chef de projet;CDD;31706;4422;7;
571c9d78-8429-4eae-877e-5ea1c33993f2;Cooley;Kathleen;M;15/02/1981;43;kathleen.cooley@xxx.tn;(243)219-5398x5225;"4457 Burke Extension Apt. 290
Martineztown, VA 63469";R&D;16/04/2020;;4;Chef de projet;CDI;54218;3372;9;
e53428bb-b20e-4719-a6b9-b21b94291726;Little;Oscar;F;06/08/1987;37;oscar.little@xxx.tn;949.733.6348x28298;"8034 Vazquez Brook Apt. 914
Port Morganburgh, RI 23253";Finance et Comptabilité;28/10/2022;20/08/2024;2;Consultant;CDD;53319;3412;28;Jacob Lopez
edaeec39-ea9e-462a-9b89-bf0d054961d6;Craig;Diane;M;23/01/1982;42;diane.craig@xxx.tn;(843)367-5519;"98453 Gonzalez Ferry
South Dominique, RI 78018";Qualité;24/01/2023;;1;Chef de projet;CDD;27910;1673;8;Gregory Savage
a5794917-0806-489a-9abf-3e69e5bcd7ed;Bullock;Brian;M;04/08/1991;33;brian.bullock@xxx.tn;+1-628-916-4593x0525;"Unit 9541 Box 7218
DPO AA 73760";R&D;19/04/2024;;0;Technicien;temps partiel;33110;4516;18;Jacob Lopez
afaf2b68-205b-49e7-842b-43fa6b4de9de;Lambert;Catherine;F;26/04/1994;30;catherine.lambert@xxx.tn;+1-319-212-7416x44158;"16670 Welch Dam
Lake Philipshire, WA 30007";R&D;10/06/2023;;1;Formateur;CDD;57065;4539;20;Kevin Houston
663eab2b-c832-45cc-995d-767b0c1333ce;Melendez;Rachel;F;31/01/1978;46;rachel.melendez@xxx.tn;(484)466-8078;"97444 Richard Branch
New Kimland, FM 01845";Finance et Comptabilité;31/05/2020;03/12/2023;3;Analyste;CDD;52342;3107;21;Krista Brown
f4098aef-1d50-4ccf-bec0-9878f0344058;Wall;William;M;12/05/1974;50;william.wall@xxx.tn;905-325-9115x34757;"6878 Stone Forges Apt. 685
North Douglas, AZ 50838";Production;03/06/2022;07/01/2023;1;Développeur;CDD;26041;2842;29;Gregory Savage
de8e3228-aa64-4f16-b035-50885a2bf7fe;Warren;Annette;F;25/09/1971;53;annette.warren@xxx.tn;001-776-795-9785x3806;"91715 Wang Gardens
New Williamton, OK 47516";IT;22/10/2024;;0;Technicien;CDI;33345;4633;12;Gregory Savage
f26ce972-e1da-4dd8-aa09-7bb2c187715f;Peterson;Todd;F;25/09/1988;36;todd.peterson@xxx.tn;(503)275-2078x26497;"759 Good Port
New Russell, IA 48818";Production;03/05/2020;;4;Technicien;temps partiel;27937;1790;1;Jacqueline Brown
ed825ea8-dda9-402a-964f-bdde895585be;Lewis;Sydney;M;08/12/1983;41;sydney.lewis@xxx.tn;(473)395-9253x248;"PSC 7732, Box 9593
APO AP 12139";Finance et Comptabilité;29/03/2023;01/10/2023;0;Analyste;temps partiel;23851;4241;8;William Green
d813a70f-5a9c-40b5-b3b8-87d38301c5b9;Clark;Peter;F;25/08/1997;27;peter.clark@xxx.tn;(950)803-3928x71484;"10524 Parker Mall Suite 531
Port Courtneyhaven, AK 87022";Finance et Comptabilité;07/08/2024;02/11/2024;0;Chef de projet;temps partiel;44422;1819;7;Kevin Jones
052ba051-3c24-4ca5-9042-5d14e6b0643c;Velasquez;Virginia;F;14/05/1986;38;virginia.velasquez@xxx.tn;5146196299;"322 Jonathan Turnpike
Dustinview, IL 10781";Production;13/05/2024;02/10/2024;0;Analyste;CDI;54555;4679;3;Jacqueline Brown
7ad06668-a892-463b-89ae-b61659f88a69;Gonzalez;Brianna;M;16/07/1991;33;brianna.gonzalez@xxx.tn;+1-424-419-4930x23906;"532 Stewart Mills
Lake Dana, KY 89011";R&D;27/02/2021;06/12/2021;0;Analyste;temps partiel;49673;2681;4;Kevin Jones
37c67f46-4860-45c2-b812-b02296b09e29;Henry;Michael;F;05/09/1970;54;michael.henry@xxx.tn;886-612-6191x8272;"PSC 8321, Box 4756
APO AP 07220";Marketing;09/08/2021;;3;Formateur;temps partiel;25969;799;14;Morgan Banks
8a849529-b662-47ed-b5b8-5fb3c5b0b3c8;Bowen;Andrea;M;21/05/1990;34;andrea.bowen@xxx.tn;001-520-949-7896;"86187 Antonio Fort
North Carmen, MT 09631";Qualité;05/12/2022;28/06/2024;2;Technicien;temps partiel;43281;3901;4;Morgan Banks
1981f0d4-dbf9-4793-acb9-cb393103d904;Gonzalez;Travis;F;25/04/1978;46;travis.gonzalez@xxx.tn;229.738.9896x96479;"037 April Forest
East Joelfort, CO 79704";Qualité;29/08/2024;19/10/2024;0;Développeur;CDD;36967;975;16;Kevin Jones
4c2652d8-b6ea-4241-a5b3-a67baa0e563e;Murphy;Jennifer;M;01/08/1983;41;jennifer.murphy@xxx.tn;+1-919-617-5991x32630;"218 Flores Stream Apt. 533
Adriennechester, SD 95614";IT;07/05/2022;06/01/2024;2;Chef de projet;temps partiel;17195;4201;18;Jacqueline Brown
86d6c424-27b2-4a70-a945-2a96a1239c72;Thomas;Chris;M;16/09/1990;34;chris.thomas@xxx.tn;697.552.9296;"78620 Brady Ports
Lake Michaelville, CT 65286";Qualité;23/03/2023;;1;Formateur;CDI;49860;2823;11;Jacqueline Brown
77350617-1615-4755-96df-541fcdd592a0;Johnson;Jennifer;F;06/04/1999;25;jennifer.johnson@xxx.tn;594-286-2319x827;"299 Carlos Harbors
West Cindyshire, WI 34313";IT;02/02/2022;;2;Consultant;CDI;35658;759;18;William Green
410223b4-5536-412a-98d7-76da0f013f4e;Thomas;Tiffany;M;02/09/1966;58;tiffany.thomas@xxx.tn;+1-966-704-3319x2383;"Unit 0469 Box 8825
DPO AP 75144";Marketing;28/07/2023;;1;Ingénieur;CDD;17653;2565;27;Stephen Vazquez
cd037e58-3ca5-4162-8509-a7a7a2bc5350;Evans;Sean;M;07/04/1990;34;sean.evans@xxx.tn;+1-844-915-2706x7048;"04164 Todd Mountains
Zacharyberg, PA 65697";Marketing;14/07/2024;21/08/2024;0;Analyste;temps partiel;51184;3644;0;Jacob Lopez
1bf8fbeb-d06e-42e6-9c5a-2a83b4fb6afa;Clark;Jose;M;20/07/1975;49;jose.clark@xxx.tn;+1-906-445-9356x21357;"6659 Valerie Point Suite 210
Penabury, MO 84003";Production;13/04/2022;07/05/2022;0;Ingénieur;CDI;42995;4860;20;William Green
86def5a0-474f-41f7-8d26-c0c52ba08a24;Leonard;Kenneth;F;21/07/1992;32;kenneth.leonard@xxx.tn;985-502-0155;"8276 Dakota Coves Suite 348
New Kimberlyland, CT 71903";Qualité;27/10/2020;;4;Développeur;CDI;46640;3488;7;Jacob Lopez
2a6c56cb-2a63-4fd1-b1cf-539d2a1fff41;Mccall;Daniel;M;29/12/1967;57;daniel.mccall@xxx.tn;342.879.0860x114;"79885 Ronald Valley Apt. 969
West Michael, MD 62485";R&D;15/06/2022;01/07/2023;1;Technicien;CDI;30023;3382;14;Stephen Vazquez
76579644-e66b-43a0-b8e4-c448e108e5d9;Nelson;Frank;M;30/01/1981;43;frank.nelson@xxx.tn;705-479-4301x78236;"7503 Carlos Curve Apt. 886
Jaredchester, AK 71876";R&D;23/12/2023;;1;Ingénieur;CDI;16925;2991;30;Jacqueline Brown
ddf06a9d-c3b9-43ac-94ef-ad3e4b8ff2b4;Melendez;James;M;03/03/1987;37;james.melendez@xxx.tn;001-967-884-1015x66634;"472 Craig Meadows Suite 994
Kelleyport, MT 77284";R&D;22/01/2024;;0;Chef de projet;CDD;26775;3051;26;Stephen Vazquez
3a0cc176-ae84-4778-90d9-e38d4f73efb1;Coleman;Susan;F;09/06/1987;37;susan.coleman@xxx.tn;536-409-5227x11290;"624 Alexander Place Apt. 272
Lake Darrylport, VA 40512";Finance et Comptabilité;11/06/2021;07/08/2021;0;Chef de projet;temps partiel;25243;1607;13;Stephen Vazquez
0f5270a2-115c-4e92-b618-1f28c2967bdf;Willis;Joseph;M;20/06/1990;34;joseph.willis@xxx.tn;001-243-674-8361x60015;"90292 Banks Prairie
North Stacey, OH 18189";Production;26/07/2022;14/09/2022;0;Formateur;temps partiel;37591;178;27;Morgan Banks
19a0f532-d219-4d93-b3a7-0c3d1da5a563;Jones;Kimberly;F;27/01/1969;55;kimberly.jones@xxx.tn;461.317.7828x1256;"831 Kemp Pines
Annashire, ND 51932";Production;11/11/2020;17/11/2023;3;Analyste;temps partiel;48668;2320;5;Christopher Moon
bc3548c5-5d46-49ba-b777-40fcc70312b9;Hernandez;Richard;M;29/04/1980;44;richard.hernandez@xxx.tn;958-950-0024x3221;"2025 Gonzalez Roads Apt. 872
Manuelville, RI 88436";IT;10/08/2022;30/12/2022;0;Formateur;temps partiel;46822;3474;5;William Green
